DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,99CL9Y01,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200509,9O6OSM01,25244,TABLET NB730 MINI MS50G PRATA/PRETO          
20200509,99EF7201,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200509,56661201,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200508,99IE1A01,26545,SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        
20200507,34874101,26324,"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL"
20200507,34874101,22618,CELULAR RIU-I R200 DB PRETO-AMARELO          
20200507,99IE1A01,21855,CELULAR BLU JENNY 2.8 T276 DB PRETO-VERMEL   
20200507,91354601,26243,SUPORTE UNIV. BEDIN BU-25                    
20200507,99HET201,25435,TABLET NB732 MINI MS50X PRETO                
20200506,9NX9YR01,25580,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    
20200506,11706101,26243,SUPORTE UNIV. BEDIN BU-25                    
20200502,06719601,26326,"TELEVISOR SMART 50"" 50P8M 4K UHD BLT SEMP TCL"
20200502,83292601,26724,SMARTPHONE SAMSUNG GAL A51 128GB AZUL        
20200429,99G8ZY01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200429,03936701,26527,SMARTPHONE LG K40S LMX430 BMW PRETO          
20200429,99JFW901,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200428,9OGMCK01,26573,SMARTPHONE SAMSUNG GAL A30S 64GB PRETO       
20200427,99JYJ401,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200427,99EIP501,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200424,99565601,21647,DVD D-15 KARAOKE MONDIAL                     
20200423,67709801,26574,SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      
20200418,99DLU401,23777,RADIO RECEPTOR RM-PUSM81AC USB               
20200418,9NZ7NE01,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200418,9NZ7NE01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200324,47227501,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200321,06906101,26585,SMARTPHONE MOTOROLA MOTO ONE MACRO 64GB AZUL 
20200321,84920901,25240,PEN DRIVE MC161 2X1 LEITOR USB SD 8G         
20200321,47596801,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200319,78704501,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200317,YZ0FKZ01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200317,34874101,25240,PEN DRIVE MC161 2X1 LEITOR USB SD 8G         
20200316,99EF7201,26177,TABLET NB720 MINI MS45 4G PRETO              
20200316,43985401,26635,CELULAR SEMP GO 1E 2G COM BASE PRETO         
20200316,9OI3BP01,26584,SMARTPHONE MOTOROLA MOTO G8 PLUS 64GB CEREJA 
20200314,9OD2UD01,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200313,99NDJY01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200311,00052701,21823,PEN DRIVE SONY R 8GB USMRGR                  
20200310,9O8UJP01,21647,DVD D-15 KARAOKE MONDIAL                     
20200306,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200306,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200306,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200306,9OOD3C01,25738,"TELEVISOR SMART 43"" PTV43E60SN LED PHILCO    "
20200305,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200304,9O09HB01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200303,99H3PO01,24368,ROTEADOR RE184 1200MBPS AC DUAL              
20200303,50808201,21256,CELULAR BLU TANK II T193 DB PRETO AZUL       
20200303,84920901,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200303,58617101,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200303,9O0WGT01,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200302,09144601,26575,SMARTPHONE SAMSUNG GAL A30S 64GB VIOLETA     
20200302,18029301,25661,CELULAR RIU FLIP 2.4 DB BRANCO               
20200229,99BVWE01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200229,89577701,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200229,99CQK301,24850,ROTEADOR RE058 150MBPS 1 ANT.4PTS.LAN        
20200229,99CQK301,22506,ROTEADOR RE057 150MBPS 1 ANT.4PTS.LAN        
20200229,9OAEKK01,26631,TABLET NB317 M7S 16GB QUAD CORE BRANCO       
20200229,9OAEKK01,20385,TABLET NB184 M7S QUAD CORE PRETO             
20200228,9OLK7D01,26586,BOX LINE OCM 4010 DIAMOND PT ONEAL           
20200228,79363301,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200227,9O7Y3X01,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200227,90012001,21823,PEN DRIVE SONY R 8GB USMRGR                  
20200227,09907001,22616,CELULAR RIU-I R200 DB PRETO-AZUL             
20200226,31445301,25435,TABLET NB732 MINI MS50X PRETO                
20200222,9NXZXP01,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200222,11222501,21823,PEN DRIVE SONY R 8GB USMRGR                  
20200221,9OLXD001,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200221,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200221,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200221,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200221,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200221,56661201,21823,PEN DRIVE SONY R 8GB USMRGR                  
20200220,94464301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200220,56813701,25303,"TELEVISOR SMART 32"" TC32FS500B PANASONIC     "
20200220,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200219,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200219,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200219,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200219,75231801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200219,YYYOC901,26243,SUPORTE UNIV. BEDIN BU-25                    
20200218,YYZZVT01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200218,31445301,26100,TABLET NB736 MINI MS50G PRETO                
20200215,9O0DH001,26581,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX
20200215,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200215,999H3301,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200215,9O5IIM01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200214,9O2ENM01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200214,9NXZXP01,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200213,34874101,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200212,03936701,25669,"TELEVISOR SMART 43"" 43LK5750PSA.BWZ LG       "
20200212,99C8Z501,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200210,99EHSL01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200208,91354601,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200206,91141201,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
